,Name,Year,Position,Height,Weight,Pick,Vertical,Cluster,Topic,Frequent
604,Cenk Akyol,2005,2.0,77.0,185,59,,2,2,"{u'good': 8, u'offensive': 5, u'nice': 6}"
605,Alex Acker,2005,1.5,77.0,190,60,32.0,2,1,"{u'better': 4, u'great': 4, u'good': 13}"
606,Dwight Howard,2004,5.0,83.0,245,1,35.5,2,1,"{u'better': 4, u'strong': 4, u'offensive': 4}"
607,Emeka Okafor,2004,5.0,82.0,255,2,34.0,2,0,"{u'major': 1, u'offensive': 6, u'left': 2}"
608,Ben Gordon,2004,2.0,75.0,200,3,37.5,1,0,"{u'great': 7, u'offensive': 3, u'defensive': 3}"
609,Shaun Livingston,2004,1.0,79.0,180,4,30.0,1,0,"{u'solid': 3, u'great': 2, u'good': 6}"
610,Devin Harris,2004,1.0,75.0,185,5,37.0,1,1,"{u'better': 3, u'major': 3, u'outstanding': 3}"
611,Josh Childress,2004,3.0,80.0,205,6,36.0,2,0,"{u'great': 8, u'good': 7, u'european': 7}"
612,Luol Deng,2004,3.0,80.0,220,7,31.5,2,0,"{u'good': 5, u'offensive': 5, u'best': 2}"
613,Andre Iguodala,2004,3.0,78.0,205,9,34.5,2,0,"{u'dynamic': 2, u'good': 5, u'tough': 2}"
614,Luke Jackson,2004,3.0,79.0,210,10,36.0,2,0,"{u'compact': 1, u'good': 2, u'open': 2}"
615,Andris Biedrins,2004,5.0,83.0,240,11,,0,0,"{u'great': 4, u'good': 3, u'offensive': 3}"
616,Robert Swift,2004,5.0,84.0,240,12,,0,0,"{u'good': 6, u'offensive': 3, u'nice': 3}"
617,Sebastian Telfair,2004,1.0,72.0,170,13,,1,0,"{u'good': 4, u'defensive': 4, u'physical': 3}"
618,Kris Humphries,2004,4.0,81.0,235,14,36.0,2,0,"{u'athletic': 2, u'decent': 3, u'consistent': 2}"
619,Al Jefferson,2004,5.0,82.0,265,15,30.0,0,0,"{u'tremendous': 3, u'poor': 3, u'productive': 3}"
620,Kirk Snyder,2004,2.5,78.0,225,16,35.0,2,0,"{u'decent': 3, u'great': 4, u'consistent': 3}"
621,Josh Smith,2004,4.0,81.0,220,17,39.5,2,1,"{u'offensive': 2, u'young': 2, u'best': 2}"
622,Dorell Wright,2004,3.0,79.0,210,19,,2,0,"{u'solid': 4, u'great': 4, u'average': 3}"
623,Jameer Nelson,2004,1.0,72.0,192,20,33.5,1,0,"{u'compact': 2, u'decent': 2, u'tough': 2}"
